transaccion_id,fecha_hora,sucursal_id,producto_id,monto_total,tiempo_atencion_min
TXN-000042,2026-03-01 07:57:34,SUC-01,PROD-04,12.93,3.99
TXN-000043,2026-03-01 08:00:19,SUC-02,PROD-04,13.01,2.83
TXN-000044,2026-03-01 08:00:48,SUC-01,PROD-04,19.0,4.77
TXN-000045,2026-03-01 08:01:35,SUC-01,PROD-02,11.74,2.58
TXN-000046,2026-03-01 08:02:42,SUC-01,PROD-01,15.53,3.62
TXN-000047,2026-03-01 08:02:45,SUC-02,PROD-01,57.79,3.03
TXN-000048,2026-03-01 08:02:46,SUC-01,PROD-03,18.23,2.94
TXN-000049,2026-03-01 08:04:38,SUC-01,PROD-01,27.66,2.01
TXN-000050,2026-03-01 08:04:42,SUC-02,PROD-03,10.77,3.06
TXN-000051,2026-03-01 08:05:52,SUC-02,PROD-01,14.1,3.45
TXN-000052,2026-03-01 08:06:05,SUC-01,PROD-01,28.47,3.17
TXN-000053,2026-03-01 08:06:54,SUC-03,PROD-02,34.05,3.04
TXN-000054,2026-03-01 08:07:46,SUC-02,PROD-02,18.16,5.9
TXN-000055,2026-03-01 08:07:59,SUC-01,PROD-02,16.85,6.29
TXN-000056,2026-03-01 08:09:13,SUC-01,PROD-04,17.36,3.61
TXN-000057,2026-03-01 08:10:21,SUC-03,PROD-03,18.13,4.55
TXN-000058,2026-03-01 08:10:23,SUC-01,PROD-04,15.53,1.68
TXN-000059,2026-03-01 08:11:30,SUC-03,PROD-02,29.45,3.3
TXN-000060,2026-03-01 08:12:09,SUC-02,PROD-01,17.28,3.72
TXN-000061,2026-03-01 08:12:16,SUC-02,PROD-02,31.72,4.07
TXN-000062,2026-03-01 08:12:26,SUC-02,PROD-02,12.43,2.48
TXN-000063,2026-03-01 08:12:33,SUC-03,PROD-04,15.91,3.18
TXN-000064,2026-03-01 08:12:45,SUC-01,PROD-02,12.54,3.61
TXN-000065,2026-03-01 08:13:14,SUC-01,PROD-03,10.98,1.87
TXN-000066,2026-03-01 08:13:17,SUC-03,PROD-01,25.0,4.27
TXN-000067,2026-03-01 08:13:32,SUC-02,PROD-04,16.31,3.37
TXN-000068,2026-03-01 08:14:28,SUC-01,PROD-02,9.0,4.18
TXN-000069,2026-03-01 08:14:49,SUC-01,PROD-01,14.08,2.3
TXN-000070,2026-03-01 08:14:51,SUC-02,PROD-04,13.82,2.55
TXN-000071,2026-03-01 08:16:51,SUC-01,PROD-04,19.71,2.86
TXN-000072,2026-03-01 08:17:11,SUC-03,PROD-04,13.89,3.68
TXN-000073,2026-03-01 08:18:05,SUC-01,PROD-03,34.78,3.38
TXN-000074,2026-03-01 08:18:13,SUC-02,PROD-04,12.82,3.71
TXN-000075,2026-03-01 08:18:32,SUC-02,PROD-04,10.09,2.42
TXN-000076,2026-03-01 08:19:25,SUC-02,PROD-01,8.59,3.56
TXN-000077,2026-03-01 08:20:07,SUC-03,PROD-03,10.24,3.51
TXN-000078,2026-03-01 08:20:16,SUC-03,PROD-04,17.56,2.97
TXN-000079,2026-03-01 08:20:25,SUC-02,PROD-01,20.79,3.69
TXN-000080,2026-03-01 08:20:42,SUC-03,PROD-02,17.77,4.46
TXN-000081,2026-03-01 08:21:17,SUC-01,PROD-03,13.28,1.92
TXN-000082,2026-03-01 08:22:13,SUC-01,PROD-02,9.66,2.98
TXN-000083,2026-03-01 08:22:38,SUC-01,PROD-01,9.74,7.27
TXN-000084,2026-03-01 08:22:54,SUC-01,PROD-04,18.51,3.25
TXN-000085,2026-03-01 08:23:27,SUC-02,PROD-01,12.35,4.8
TXN-000086,2026-03-01 08:23:39,SUC-03,PROD-01,17.22,2.31
TXN-000087,2026-03-01 08:24:05,SUC-01,PROD-04,26.97,1.96
TXN-000088,2026-03-01 08:24:06,SUC-01,PROD-02,14.83,3.45
TXN-000089,2026-03-01 08:24:17,SUC-01,PROD-02,10.03,2.02
TXN-000090,2026-03-01 08:26:03,SUC-03,PROD-01,34.77,3.48
TXN-000091,2026-03-01 08:26:21,SUC-03,PROD-03,16.05,3.44
TXN-000092,2026-03-01 08:26:44,SUC-03,PROD-02,10.52,2.22
TXN-000093,2026-03-01 08:27:00,SUC-02,PROD-01,8.57,3.16
TXN-000094,2026-03-01 08:27:50,SUC-02,PROD-04,19.79,5.67
TXN-000095,2026-03-01 08:28:43,SUC-02,PROD-02,11.4,3.08
TXN-000096,2026-03-01 08:28:58,SUC-03,PROD-01,14.73,3.21
TXN-000097,2026-03-01 08:29:05,SUC-03,PROD-03,13.27,1.8
TXN-000098,2026-03-01 08:29:28,SUC-02,PROD-01,17.19,3.36
TXN-000099,2026-03-01 08:29:34,SUC-01,PROD-03,7.63,2.98
TXN-000100,2026-03-01 08:29:40,SUC-01,PROD-01,18.18,3.33
TXN-000101,2026-03-01 08:30:22,SUC-03,PROD-04,6.21,3.14
TXN-000102,2026-03-01 08:30:50,SUC-02,PROD-04,10.62,2.73
TXN-000103,2026-03-01 08:31:05,SUC-03,PROD-02,16.41,3.67
TXN-000104,2026-03-01 08:31:18,SUC-03,PROD-03,12.03,3.01
TXN-000105,2026-03-01 08:32:19,SUC-02,PROD-04,17.65,3.25
TXN-000106,2026-03-01 08:32:38,SUC-01,PROD-04,19.77,3.08
TXN-000107,2026-03-01 08:33:41,SUC-03,PROD-02,20.96,2.84
TXN-000108,2026-03-01 08:33:59,SUC-02,PROD-02,21.58,3.57
TXN-000109,2026-03-01 08:34:26,SUC-01,PROD-02,15.14,2.49
TXN-000110,2026-03-01 08:34:29,SUC-03,PROD-02,19.23,6.27
TXN-000111,2026-03-01 08:35:02,SUC-03,PROD-04,8.94,4.19
TXN-000112,2026-03-01 08:35:08,SUC-02,PROD-04,15.27,2.89
TXN-000113,2026-03-01 08:35:08,SUC-03,PROD-02,21.08,2.86
TXN-000114,2026-03-01 08:35:18,SUC-01,PROD-03,18.84,3.0
TXN-000115,2026-03-01 08:35:53,SUC-02,PROD-04,8.56,4.83
TXN-000116,2026-03-01 08:36:02,SUC-03,PROD-02,17.34,1.78
TXN-000117,2026-03-01 08:36:12,SUC-01,PROD-04,22.55,3.42
TXN-000118,2026-03-01 08:37:17,SUC-01,PROD-02,26.71,4.35
TXN-000119,2026-03-01 08:37:27,SUC-03,PROD-02,14.19,2.62
TXN-000120,2026-03-01 08:37:38,SUC-02,PROD-03,9.03,2.02
TXN-000121,2026-03-01 08:39:20,SUC-02,PROD-03,11.83,2.87
TXN-000122,2026-03-01 08:39:21,SUC-02,PROD-03,19.68,2.56
TXN-000123,2026-03-01 08:39:36,SUC-02,PROD-02,24.95,2.57
TXN-000124,2026-03-01 08:39:56,SUC-01,PROD-04,28.82,1.97
TXN-000125,2026-03-01 08:40:28,SUC-03,PROD-03,8.51,3.16
TXN-000126,2026-03-01 08:40:52,SUC-03,PROD-02,18.63,2.63
TXN-000127,2026-03-01 08:41:20,SUC-02,PROD-04,12.4,2.95
TXN-000128,2026-03-01 08:41:44,SUC-01,PROD-02,21.21,2.29
TXN-000129,2026-03-01 08:42:05,SUC-02,PROD-01,10.72,2.3
TXN-000130,2026-03-01 08:42:12,SUC-02,PROD-03,16.83,3.78
TXN-000131,2026-03-01 08:42:17,SUC-01,PROD-02,22.85,5.31
TXN-000132,2026-03-01 08:42:24,SUC-02,PROD-04,29.48,1.81
TXN-000133,2026-03-01 08:42:25,SUC-03,PROD-04,9.6,3.69
TXN-000134,2026-03-01 08:42:26,SUC-02,PROD-03,12.34,3.93
TXN-000135,2026-03-01 08:42:40,SUC-02,PROD-02,10.58,1.57
TXN-000136,2026-03-01 08:42:54,SUC-02,PROD-03,17.29,2.64
TXN-000137,2026-03-01 08:42:55,SUC-03,PROD-04,9.6,3.36
TXN-000138,2026-03-01 08:43:19,SUC-02,PROD-01,12.41,3.42
TXN-000139,2026-03-01 08:43:41,SUC-01,PROD-01,23.37,2.8
TXN-000140,2026-03-01 08:43:46,SUC-02,PROD-02,15.82,1.97
TXN-000141,2026-03-01 08:43:47,SUC-02,PROD-03,21.47,1.89
TXN-000142,2026-03-01 08:44:18,SUC-02,PROD-04,10.23,3.3
TXN-000143,2026-03-01 08:44:27,SUC-01,PROD-01,9.32,4.11
TXN-000144,2026-03-01 08:44:59,SUC-01,PROD-02,9.7,3.73
TXN-000145,2026-03-01 08:45:04,SUC-01,PROD-01,16.5,2.69
TXN-000146,2026-03-01 08:47:10,SUC-02,PROD-01,13.32,3.35
TXN-000147,2026-03-01 08:47:47,SUC-02,PROD-01,8.35,2.92
TXN-000148,2026-03-01 08:48:03,SUC-03,PROD-03,20.5,3.33
TXN-000149,2026-03-01 08:48:15,SUC-02,PROD-04,39.52,3.68
TXN-000150,2026-03-01 08:48:21,SUC-01,PROD-01,23.72,3.32
TXN-000151,2026-03-01 08:48:31,SUC-03,PROD-04,26.47,4.07
TXN-000152,2026-03-01 08:48:43,SUC-03,PROD-01,9.48,2.61
TXN-000153,2026-03-01 08:48:48,SUC-03,PROD-04,8.71,3.81
TXN-000154,2026-03-01 08:49:25,SUC-03,PROD-04,14.62,2.56
TXN-000155,2026-03-01 08:51:10,SUC-01,PROD-04,15.48,2.25
TXN-000156,2026-03-01 08:51:34,SUC-02,PROD-04,14.86,3.38
TXN-000157,2026-03-01 08:51:55,SUC-01,PROD-03,7.26,4.14
TXN-000158,2026-03-01 08:52:00,SUC-03,PROD-01,15.0,2.28
TXN-000159,2026-03-01 08:52:17,SUC-03,PROD-03,32.97,4.03
TXN-000160,2026-03-01 08:52:48,SUC-03,PROD-02,16.09,2.8
TXN-000161,2026-03-01 08:53:23,SUC-01,PROD-02,18.49,2.42
TXN-000162,2026-03-01 08:53:40,SUC-01,PROD-01,15.09,2.44
TXN-000163,2026-03-01 08:54:14,SUC-01,PROD-01,28.38,6.43
TXN-000164,2026-03-01 08:55:06,SUC-01,PROD-03,16.86,3.49
TXN-000165,2026-03-01 08:55:23,SUC-01,PROD-03,20.19,3.54
TXN-000166,2026-03-01 08:55:32,SUC-03,PROD-01,19.34,2.97
TXN-000167,2026-03-01 08:57:11,SUC-02,PROD-01,32.17,2.54
TXN-000168,2026-03-01 08:57:19,SUC-02,PROD-03,20.08,2.04
TXN-000169,2026-03-01 08:57:36,SUC-02,PROD-02,11.06,1.57
TXN-000170,2026-03-01 08:57:50,SUC-02,PROD-02,12.69,3.26
TXN-000171,2026-03-01 08:58:21,SUC-02,PROD-03,34.42,3.21
TXN-000172,2026-03-01 08:59:18,SUC-03,PROD-02,21.95,2.3
TXN-000173,2026-03-01 09:00:35,SUC-03,PROD-01,11.14,1.71
TXN-000174,2026-03-01 09:00:43,SUC-01,PROD-03,6.16,2.94
TXN-000175,2026-03-01 09:01:02,SUC-02,PROD-04,28.68,3.55
TXN-000176,2026-03-01 09:02:51,SUC-01,PROD-02,16.9,2.66
TXN-000177,2026-03-01 09:03:35,SUC-02,PROD-04,13.77,2.3
TXN-000178,2026-03-01 09:04:45,SUC-02,PROD-03,9.8,3.22
TXN-000179,2026-03-01 09:07:01,SUC-03,PROD-02,16.8,4.5
TXN-000180,2026-03-01 09:07:18,SUC-01,PROD-04,17.05,3.08
TXN-000181,2026-03-01 09:08:15,SUC-01,PROD-03,38.62,3.22
TXN-000182,2026-03-01 09:08:32,SUC-01,PROD-03,11.11,3.45
TXN-000183,2026-03-01 09:09:16,SUC-01,PROD-01,24.0,4.39
TXN-000184,2026-03-01 09:09:31,SUC-03,PROD-03,13.9,4.52
TXN-000185,2026-03-01 09:09:40,SUC-01,PROD-03,18.4,2.49
TXN-000186,2026-03-01 09:09:41,SUC-02,PROD-03,9.88,3.62
TXN-000187,2026-03-01 09:10:50,SUC-01,PROD-04,30.63,2.24
TXN-000188,2026-03-01 09:13:41,SUC-01,PROD-04,28.37,3.85
TXN-000189,2026-03-01 09:13:58,SUC-01,PROD-04,18.95,1.71
TXN-000190,2026-03-01 09:14:11,SUC-02,PROD-03,33.11,3.81
TXN-000191,2026-03-01 09:14:52,SUC-01,PROD-03,24.09,3.65
TXN-000192,2026-03-01 09:14:53,SUC-03,PROD-01,14.76,3.93
TXN-000193,2026-03-01 09:14:54,SUC-03,PROD-03,15.03,4.89
TXN-000194,2026-03-01 09:15:10,SUC-01,PROD-02,15.65,3.75
TXN-000195,2026-03-01 09:15:29,SUC-03,PROD-04,29.82,3.08
TXN-000196,2026-03-01 09:15:30,SUC-02,PROD-02,10.74,2.74
TXN-000197,2026-03-01 09:15:53,SUC-02,PROD-01,20.4,4.14
TXN-000198,2026-03-01 09:15:58,SUC-02,PROD-01,19.63,4.31
TXN-000199,2026-03-01 09:16:48,SUC-02,PROD-01,16.2,2.22
TXN-000200,2026-03-01 09:17:04,SUC-01,PROD-04,17.46,3.13
TXN-000201,2026-03-01 09:17:28,SUC-02,PROD-04,15.38,3.27
TXN-000202,2026-03-01 09:17:49,SUC-01,PROD-02,16.36,2.3
TXN-000203,2026-03-01 09:17:49,SUC-03,PROD-01,29.34,3.1
TXN-000204,2026-03-01 09:17:59,SUC-01,PROD-04,9.62,1.85
TXN-000205,2026-03-01 09:18:15,SUC-02,PROD-01,18.74,3.03
TXN-000206,2026-03-01 09:18:32,SUC-03,PROD-01,19.17,2.6
TXN-000207,2026-03-01 09:18:46,SUC-03,PROD-03,30.84,2.52
TXN-000208,2026-03-01 09:19:35,SUC-03,PROD-02,12.44,2.31
TXN-000209,2026-03-01 09:19:53,SUC-03,PROD-01,12.04,2.76
TXN-000210,2026-03-01 09:20:25,SUC-01,PROD-02,16.19,2.56
TXN-000211,2026-03-01 09:20:48,SUC-02,PROD-04,16.25,3.25
TXN-000212,2026-03-01 09:21:35,SUC-03,PROD-04,14.25,3.06
TXN-000213,2026-03-01 09:23:14,SUC-01,PROD-04,29.27,1.95
TXN-000214,2026-03-01 09:24:12,SUC-03,PROD-02,15.77,3.8
TXN-000215,2026-03-01 09:24:24,SUC-01,PROD-03,22.17,3.61
TXN-000216,2026-03-01 09:24:29,SUC-03,PROD-04,16.51,3.38
TXN-000217,2026-03-01 09:24:31,SUC-02,PROD-02,13.13,2.66
TXN-000218,2026-03-01 09:25:15,SUC-02,PROD-04,18.56,2.49
TXN-000219,2026-03-01 09:26:05,SUC-03,PROD-03,13.04,3.23
TXN-000220,2026-03-01 09:26:21,SUC-03,PROD-04,14.2,1.73
TXN-000221,2026-03-01 09:26:53,SUC-03,PROD-03,8.45,4.89
TXN-000222,2026-03-01 09:27:57,SUC-01,PROD-01,13.2,4.17
TXN-000223,2026-03-01 09:28:34,SUC-03,PROD-02,28.13,1.49
TXN-000224,2026-03-01 09:28:56,SUC-03,PROD-03,32.45,2.99
TXN-000225,2026-03-01 09:29:07,SUC-03,PROD-03,24.31,2.4
TXN-000226,2026-03-01 09:29:08,SUC-02,PROD-03,25.97,2.15
TXN-000227,2026-03-01 09:29:24,SUC-01,PROD-02,11.25,2.51
TXN-000228,2026-03-01 09:29:26,SUC-02,PROD-02,5.18,3.28
TXN-000229,2026-03-01 09:30:22,SUC-03,PROD-01,16.45,2.04
TXN-000230,2026-03-01 09:30:28,SUC-02,PROD-01,14.54,3.69
TXN-000231,2026-03-01 09:30:30,SUC-03,PROD-01,13.5,4.63
TXN-000232,2026-03-01 09:31:05,SUC-01,PROD-01,16.91,2.68
TXN-000233,2026-03-01 09:31:25,SUC-01,PROD-04,9.75,1.65
TXN-000234,2026-03-01 09:32:17,SUC-03,PROD-02,21.07,3.4
TXN-000235,2026-03-01 09:32:27,SUC-02,PROD-01,10.69,1.76
TXN-000236,2026-03-01 09:32:47,SUC-03,PROD-02,20.48,2.78
TXN-000237,2026-03-01 09:33:16,SUC-01,PROD-01,8.9,3.35
TXN-000238,2026-03-01 09:33:29,SUC-02,PROD-02,8.19,3.0
TXN-000239,2026-03-01 09:33:31,SUC-02,PROD-04,18.65,2.86
TXN-000240,2026-03-01 09:34:16,SUC-01,PROD-02,14.36,2.35
TXN-000241,2026-03-01 09:34:46,SUC-01,PROD-03,20.96,2.71
TXN-000242,2026-03-01 09:34:48,SUC-01,PROD-04,26.13,3.81
TXN-000243,2026-03-01 09:35:09,SUC-03,PROD-03,17.36,3.16
TXN-000244,2026-03-01 09:35:14,SUC-01,PROD-01,9.75,2.4
TXN-000245,2026-03-01 09:35:28,SUC-02,PROD-01,24.03,3.04
TXN-000246,2026-03-01 09:35:38,SUC-02,PROD-02,16.66,2.4
TXN-000247,2026-03-01 09:35:55,SUC-01,PROD-02,13.97,3.25
TXN-000248,2026-03-01 09:36:12,SUC-02,PROD-02,15.1,4.7
TXN-000249,2026-03-01 09:36:24,SUC-03,PROD-04,21.2,3.34
TXN-000250,2026-03-01 09:36:56,SUC-01,PROD-03,12.35,3.68
TXN-000251,2026-03-01 09:37:25,SUC-01,PROD-03,31.59,1.96
TXN-000252,2026-03-01 09:37:37,SUC-03,PROD-03,12.58,2.21
TXN-000253,2026-03-01 09:38:04,SUC-01,PROD-03,19.68,2.93
TXN-000254,2026-03-01 09:38:29,SUC-01,PROD-04,14.2,2.55
TXN-000255,2026-03-01 09:39:52,SUC-02,PROD-04,6.21,3.18
TXN-000256,2026-03-01 09:39:54,SUC-02,PROD-04,24.05,1.09
TXN-000257,2026-03-01 09:40:10,SUC-01,PROD-03,10.71,3.47
TXN-000258,2026-03-01 09:40:15,SUC-02,PROD-01,10.13,4.22
TXN-000259,2026-03-01 09:40:17,SUC-02,PROD-04,18.03,2.29
TXN-000260,2026-03-01 09:40:38,SUC-03,PROD-04,33.11,4.55
TXN-000261,2026-03-01 09:40:44,SUC-01,PROD-03,11.55,3.15
TXN-000262,2026-03-01 09:41:21,SUC-01,PROD-04,33.97,3.39
TXN-000263,2026-03-01 09:41:29,SUC-01,PROD-03,15.7,3.86
TXN-000264,2026-03-01 09:41:53,SUC-03,PROD-02,25.26,6.11
TXN-000265,2026-03-01 09:42:31,SUC-03,PROD-02,9.48,2.54
TXN-000266,2026-03-01 09:42:33,SUC-02,PROD-01,11.25,1.57
TXN-000267,2026-03-01 09:43:20,SUC-01,PROD-01,23.31,4.14
TXN-000268,2026-03-01 09:43:27,SUC-01,PROD-03,12.82,2.7
TXN-000269,2026-03-01 09:43:56,SUC-01,PROD-01,11.85,5.63
TXN-000270,2026-03-01 09:44:00,SUC-02,PROD-04,24.04,1.92
TXN-000271,2026-03-01 09:44:15,SUC-03,PROD-02,46.91,2.15
TXN-000272,2026-03-01 09:44:31,SUC-03,PROD-01,18.66,3.18
TXN-000273,2026-03-01 09:45:10,SUC-03,PROD-02,18.99,3.56
TXN-000274,2026-03-01 09:45:17,SUC-03,PROD-03,13.58,1.76
TXN-000275,2026-03-01 09:45:20,SUC-01,PROD-04,14.06,3.43
TXN-000276,2026-03-01 09:45:44,SUC-02,PROD-03,21.29,4.54
TXN-000277,2026-03-01 09:46:07,SUC-01,PROD-02,18.72,2.89
TXN-000278,2026-03-01 09:46:57,SUC-02,PROD-01,26.58,2.47
TXN-000279,2026-03-01 09:47:35,SUC-01,PROD-03,8.96,2.6
TXN-000280,2026-03-01 09:47:37,SUC-01,PROD-02,14.95,5.27
TXN-000281,2026-03-01 09:47:55,SUC-02,PROD-04,21.26,4.34
TXN-000282,2026-03-01 09:48:03,SUC-01,PROD-04,12.86,5.66
TXN-000283,2026-03-01 09:48:34,SUC-03,PROD-04,11.36,3.24
TXN-000284,2026-03-01 09:49:03,SUC-01,PROD-01,20.21,9.54
TXN-000285,2026-03-01 09:49:04,SUC-02,PROD-04,13.95,3.29
TXN-000286,2026-03-01 09:49:27,SUC-02,PROD-03,13.06,1.38
TXN-000287,2026-03-01 09:49:49,SUC-02,PROD-03,8.21,1.67
TXN-000288,2026-03-01 09:50:54,SUC-03,PROD-04,19.45,3.6
TXN-000289,2026-03-01 09:51:15,SUC-03,PROD-03,11.21,3.65
TXN-000290,2026-03-01 09:51:29,SUC-02,PROD-02,15.87,3.96
TXN-000291,2026-03-01 09:51:44,SUC-02,PROD-02,11.05,2.98
TXN-000292,2026-03-01 09:52:00,SUC-03,PROD-04,9.99,3.05
TXN-000293,2026-03-01 09:53:49,SUC-01,PROD-01,8.0,3.46
TXN-000294,2026-03-01 09:53:58,SUC-02,PROD-04,12.03,3.91
TXN-000295,2026-03-01 09:54:07,SUC-02,PROD-04,18.43,3.2
TXN-000296,2026-03-01 09:55:04,SUC-03,PROD-01,25.18,1.58
TXN-000297,2026-03-01 09:55:07,SUC-01,PROD-02,25.91,3.44
TXN-000298,2026-03-01 09:55:09,SUC-03,PROD-01,18.24,3.04
TXN-000299,2026-03-01 09:55:12,SUC-03,PROD-02,20.39,4.48
TXN-000300,2026-03-01 09:55:49,SUC-02,PROD-01,13.43,2.11
TXN-000301,2026-03-01 09:56:06,SUC-02,PROD-01,13.98,2.12
TXN-000302,2026-03-01 09:56:08,SUC-03,PROD-03,9.45,4.64
TXN-000303,2026-03-01 09:56:40,SUC-02,PROD-01,8.48,4.38
TXN-000304,2026-03-01 09:56:58,SUC-01,PROD-01,20.13,3.9
TXN-000305,2026-03-01 09:57:10,SUC-02,PROD-02,9.96,2.58
TXN-000306,2026-03-01 09:57:28,SUC-02,PROD-03,18.08,2.62
TXN-000307,2026-03-01 09:57:48,SUC-02,PROD-03,23.36,3.68
TXN-000308,2026-03-01 09:58:07,SUC-03,PROD-02,9.39,3.2
TXN-000309,2026-03-01 09:58:38,SUC-03,PROD-04,9.58,2.02
TXN-000310,2026-03-01 09:59:20,SUC-03,PROD-03,15.6,3.17
TXN-000311,2026-03-01 09:59:45,SUC-03,PROD-04,12.91,5.03
TXN-000312,2026-03-01 09:59:50,SUC-03,PROD-04,10.86,3.76
TXN-000313,2026-03-01 10:01:54,SUC-02,PROD-03,24.34,2.78
TXN-000314,2026-03-01 10:02:20,SUC-03,PROD-01,13.93,1.41
TXN-000315,2026-03-01 10:04:26,SUC-02,PROD-03,25.53,2.32
TXN-000316,2026-03-01 10:04:30,SUC-03,PROD-01,26.11,2.65
TXN-000317,2026-03-01 10:07:59,SUC-01,PROD-03,18.51,2.16
TXN-000318,2026-03-01 10:08:09,SUC-02,PROD-01,33.94,3.62
TXN-000319,2026-03-01 10:08:32,SUC-03,PROD-01,17.14,2.53
TXN-000320,2026-03-01 10:09:23,SUC-01,PROD-02,26.58,5.18
TXN-000321,2026-03-01 10:11:32,SUC-01,PROD-01,27.34,3.79
TXN-000322,2026-03-01 10:13:53,SUC-02,PROD-04,25.8,3.8
TXN-000323,2026-03-01 10:14:24,SUC-02,PROD-02,12.82,3.47
TXN-000324,2026-03-01 10:17:21,SUC-02,PROD-03,12.92,3.26
TXN-000325,2026-03-01 10:19:53,SUC-01,PROD-02,14.78,2.91
TXN-000326,2026-03-01 10:20:57,SUC-02,PROD-04,26.99,3.02
TXN-000327,2026-03-01 10:22:19,SUC-02,PROD-03,21.73,4.0
TXN-000328,2026-03-01 10:24:42,SUC-03,PROD-04,12.18,2.92
TXN-000329,2026-03-01 10:26:03,SUC-02,PROD-01,12.01,3.65
TXN-000330,2026-03-01 10:26:21,SUC-02,PROD-04,13.39,2.15
TXN-000331,2026-03-01 10:26:24,SUC-02,PROD-01,11.86,1.6
TXN-000332,2026-03-01 10:26:55,SUC-03,PROD-04,24.87,3.27
TXN-000333,2026-03-01 10:27:10,SUC-01,PROD-03,20.57,3.9
TXN-000334,2026-03-01 10:28:06,SUC-03,PROD-03,13.53,2.44
TXN-000335,2026-03-01 10:29:00,SUC-01,PROD-02,19.65,1.94
TXN-000336,2026-03-01 10:29:00,SUC-03,PROD-03,11.97,4.13
TXN-000337,2026-03-01 10:30:00,SUC-02,PROD-02,11.06,3.37
TXN-000338,2026-03-01 10:31:01,SUC-01,PROD-01,10.05,3.18
TXN-000339,2026-03-01 10:31:02,SUC-03,PROD-01,15.13,5.66
TXN-000340,2026-03-01 10:32:48,SUC-01,PROD-04,13.07,1.92
TXN-000341,2026-03-01 10:33:58,SUC-03,PROD-02,22.5,3.3
TXN-000342,2026-03-01 10:34:05,SUC-02,PROD-03,22.68,3.88
TXN-000343,2026-03-01 10:34:29,SUC-02,PROD-03,26.54,3.08
TXN-000344,2026-03-01 10:34:49,SUC-01,PROD-03,19.79,2.2
TXN-000345,2026-03-01 10:36:24,SUC-02,PROD-01,24.77,3.59
TXN-000346,2026-03-01 10:37:21,SUC-03,PROD-04,21.8,3.81
TXN-000347,2026-03-01 10:37:44,SUC-02,PROD-03,8.93,4.39
